"","track_id","track_name","plays","date_retrieved"
"108","2CYVETnhM9aytqrazYYwrK","Mr. Perfectly Fine (Taylor’s Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"109","34V9RiEPe8MNdU32qJsJa1","We Were Happy (Taylor’s Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"110","7eResoqEJJAVTkQYSqvO3P","That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"111","4uuEGH5SVuzkkSFjo2DEiY","Don’t You (Taylor’s Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"112","4qUijfYU8EoIWiY6oSyrgT","Bye Bye Baby (Taylor’s Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"113","2gVhfX2Gy1T9kDuS9azrF7","willow",NA,"Thu Jun  8 14:59:04 2023"
"114","1gcyHQpBQ1lfXGdhZmWrHP","champagne problems",NA,"Thu Jun  8 14:59:04 2023"
"115","3Dby3p1m6IOZn2gIIqECgK","gold rush",NA,"Thu Jun  8 14:59:04 2023"
"116","6sQckd3Z8NPxVVKUnavY1F","‘tis the damn season",NA,"Thu Jun  8 14:59:04 2023"
"117","6lCvK2AR2uOKkVFCVlAzzm","tolerate it",NA,"Thu Jun  8 14:59:04 2023"
"118","6uwfVkaOM1mcMkFmSn35ix","no body, no crime (feat. HAIM)",NA,"Thu Jun  8 14:59:04 2023"
"119","55Vf4bimc1Rtfg0PAQRAo2","happiness",NA,"Thu Jun  8 14:59:04 2023"
"120","66tOfHVH3aUrscg8vExRV4","dorothea",NA,"Thu Jun  8 14:59:04 2023"
"121","2awNGIJHodfLZSClB3PYhz","coney island (feat. The National)",NA,"Thu Jun  8 14:59:04 2023"
"122","43Ykum9T72UOPhBN31grpN","ivy",NA,"Thu Jun  8 14:59:04 2023"
"123","52OkpDsU6MmPx1AwGOb6Ap","cowboy like me",NA,"Thu Jun  8 14:59:04 2023"
"124","5VYWxXUpxuxEmCqMLDqICo","long story short",NA,"Thu Jun  8 14:59:04 2023"
"125","5uICWmZTLkpEVbK22PBP6e","marjorie",NA,"Thu Jun  8 14:59:04 2023"
"126","6a8aUhYbaQBUI8PcJ5ZmQ6","closure",NA,"Thu Jun  8 14:59:04 2023"
"127","6Wlq9rqkxrqj5Kls4Kw14H","evermore (feat. Bon Iver)",NA,"Thu Jun  8 14:59:04 2023"
"128","3zwMVvkBe2qIKDObWgXw4N","right where you left me - bonus track",NA,"Thu Jun  8 14:59:04 2023"
"129","1kdWw77ZpYOkhxeuhzU1j6","it’s time to go - bonus track",NA,"Thu Jun  8 14:59:04 2023"
"130","0lx2cLdOt3piJbcaXIV74f","willow",NA,"Thu Jun  8 14:59:04 2023"
"131","0sY6ZUTh4yoctD8VIXz339","champagne problems",NA,"Thu Jun  8 14:59:04 2023"
"132","5BK0uqwY9DNfZ630STAEaq","gold rush",NA,"Thu Jun  8 14:59:04 2023"
"133","7dW84mWkdWE5a6lFWxJCBG","‘tis the damn season",NA,"Thu Jun  8 14:59:04 2023"
"134","0PurA4JVJ8YQgSVopY8fn6","tolerate it",NA,"Thu Jun  8 14:59:04 2023"
"135","3RaT22zZsxVYxxKR7TAaYF","no body, no crime (feat. HAIM)",NA,"Thu Jun  8 14:59:04 2023"
"136","73YUReisjb3A9ActdLLjJQ","happiness",NA,"Thu Jun  8 14:59:04 2023"
"137","670fUmXf4KQekzbEgaXyPA","dorothea",NA,"Thu Jun  8 14:59:04 2023"
"138","3k7ne7VmH43ZPWxPdvPUgR","coney island (feat. The National)",NA,"Thu Jun  8 14:59:04 2023"
"139","19CSr8rwW05VJL2F91KFNK","ivy",NA,"Thu Jun  8 14:59:04 2023"
"140","1XjHRolIXL2M1EEOUsGGR4","cowboy like me",NA,"Thu Jun  8 14:59:04 2023"
"141","2o2sgVJIgFXk8GQjWTgI6U","long story short",NA,"Thu Jun  8 14:59:04 2023"
"142","12ntTeqEeTg7GAVpe8Mhpl","marjorie",NA,"Thu Jun  8 14:59:04 2023"
"143","35rdVq36LMHQX0Suw9a6tK","closure",NA,"Thu Jun  8 14:59:04 2023"
"144","3O5osWf1rSoKMwe6E9ZaXP","evermore (feat. Bon Iver)",NA,"Thu Jun  8 14:59:04 2023"
"145","0P9wLFurlgumLXuqFEpw52","the 1",NA,"Thu Jun  8 14:59:04 2023"
"146","7zcnlq38eqNWyUF6eNaB5Z","cardigan",NA,"Thu Jun  8 14:59:04 2023"
"147","4ojxSyrEraN7d46BMBPThZ","the last great american dynasty",NA,"Thu Jun  8 14:59:04 2023"
"148","6kz2hkq1xQvDqPcUyBkw8f","exile (feat. Bon Iver)",NA,"Thu Jun  8 14:59:04 2023"
"149","0Oju1YcbPCJuUQQWoZNdJK","my tears ricochet",NA,"Thu Jun  8 14:59:04 2023"
"150","5jQyGzcwqAxwT5QUIMivoX","mirrorball",NA,"Thu Jun  8 14:59:04 2023"
"151","2vJ7QvyCiR4DaHxwO58izA","seven",NA,"Thu Jun  8 14:59:04 2023"
"152","1UHoF9p75IVsvUt6WdTYhn","august",NA,"Thu Jun  8 14:59:04 2023"
"153","5DnDBYrfGoxdnomqEAkFIv","this is me trying",NA,"Thu Jun  8 14:59:04 2023"
"154","7CVTowKpGPA2MsIbkTl2oc","illicit affairs",NA,"Thu Jun  8 14:59:04 2023"
